X,Y,OBJECTID,CASE_ID,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_HWY_IND,STATE_ROUTE,RAMP_INTERSECTION,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,COUNTY,CITY_TIMS,POINT_X,POINT_Y,CRASH_TYPE,YEAR
-118.291950967443,33.9328356501976,17593,91037935,2019,2019/06/28 00:00:00+00,1913,5,VERMONT AVE,112TH ST  E, ,Y,Y, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,UNINCORPORATED,-118.29193878,33.93283081,AUTO-AUTO,2022
-118.181118743453,34.0423861452058,17594,91043065,2019,2019/07/21 00:00:00+00,1900,7,HAMMEL ST,BONNIE BEACH PLACE, ,Y,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.18110657,34.04238129,AUTO-PEDESTRIAN,2022
-118.214323398512,34.0476186605825,17595,91044781,2019,2019/07/22 00:00:00+00,0900,1,I-5 N/B (GOLDEN STATE FREEWAY),CESAR CHAVEZ AVENUE,S,N,Y,5, ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.215065,34.04623413,AUTO-AUTO,2022
-118.167469735636,33.814866131839,17596,91049644,2019,2019/08/01 00:00:00+00,1500,4,I-405 N/B TO CHERRY AVE N/B,CHERRY AVENUE,E,N,Y,405, ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,LONG BEACH,-118.16745758,33.8148613,AUTO-AUTO,2022
-118.32172089095,34.187314131372,17597,91049848,2019,2019/08/04 00:00:00+00,0702,7,I-5 S/B (GOLDEN STATE FREEWAY),BURBANK BLVD.,N,N,Y,5, ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,BURBANK,-118.32170868,34.18730927,AUTO-AUTO,2022
-117.802899074418,34.0403186003071,17598,91059406,2019,2019/08/13 00:00:00+00,0620,2,SR-57 S/B (ORANGE FWY),TEMPLE AVE,S,N,Y,57, ,2,0,3,1,0,2,0,0,0,0,0,0,LOS ANGELES,POMONA,-117.80288696,34.04031372,AUTO-AUTO,2022
-117.974842811153,34.5501910837912,17599,91078458,2019,2019/09/12 00:00:00+00,0555,4,87TH STREET EAST,AVENUE S-8,N,N,N, , ,2,0,1,1,0,0,0,0,0,1,0,0,LOS ANGELES,UNINCORPORATED,-117.97483063,34.55018616,AUTO-BICYCLIST,2022
-117.943142673091,34.5670444201104,17600,91091646,2019,2019/06/09 00:00:00+00,1947,7,105TH STREET EAST,AVENUE R-6, ,Y,N, , ,1,1,0,0,0,0,0,0,0,0,1,0,LOS ANGELES,UNINCORPORATED,-117.94313049,34.56703949,AUTO-AUTO,2022
-118.210032495878,34.054699019591,17601,91091908,2019,2019/09/22 00:00:00+00,1400,7,I-10 W/B (SBF) TO I-5 S/B (GSF),N. STATE STREET,E,N,Y,10, ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,LOS ANGELES,-118.20996857,34.05472946,AUTO-AUTO,2022
-118.153681757048,34.6447901229428,17602,91102366,2019,2019/10/20 00:00:00+00,2213,7,SR-14 S/B,AVENUE M,S,N,Y,14, ,2,0,2,1,0,1,0,0,0,0,0,0,LOS ANGELES,LANCASTER,-118.15341187,34.64348221,AUTO-AUTO,2022
-117.866238315765,33.9970713686777,17603,91122608,2019,2019/11/12 00:00:00+00,0315,2,SR-60 W/B (POMONA FWY),FAIRWAY DR.,E,N,Y,60, ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,INDUSTRY,-117.8662262,33.9970665,AUTO-AUTO,2022
-117.975262382864,34.0158167873427,17604,91136262,2019,2019/11/22 00:00:00+00,1830,5,TURNBULL CANYON ROAD,WALLBROOK DRIVE, ,Y,N, , ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,UNINCORPORATED,-117.97525024,34.01581192,AUTO-AUTO,2022
